match_id,round_id,steamid,name,item
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,Desert Eagle
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,MAC-10
match001,14,76561198175180459,Kolle257,Nova
match001,14,76561199766385308,Tokugawa,MAC-10
match001,14,76561198988987546,Baron26,M4A4
match001,14,76561199766385308,Tokugawa,Smoke Grenade
match001,14,76561198175180459,Kolle257,Flashbang
match001,14,76561198175180459,Kolle257,Molotov
match001,14,76561198988987546,Baron26,HE Grenade
match001,14,76561198988987546,Baron26,Incendiary Grenade
match001,14,76561198175180459,Kolle257,M4A1
